count,1,2,3,4,5,6,7,person,amount
1,10,23,29,33,37,40,16,0,0
2,9,13,21,25,32,42,2,1,"2,002,006,800"
3,11,16,19,21,27,31,30,1,"2,000,000,000"
4,14,27,30,31,40,42,2,0,0
5,16,24,29,40,41,42,3,0,0
6,14,15,26,27,40,42,34,1,"6,574,451,700"
7,2,9,16,25,26,40,42,0,0
8,8,19,25,34,37,39,9,0,0
9,2,4,16,17,36,39,14,0,0
10,9,25,30,33,41,44,6,13,"6,430,437,900"
11,1,7,36,37,41,42,14,5,"4,780,152,300"
12,2,11,21,25,39,45,44,12,"1,348,845,700"
13,22,23,25,37,38,42,26,0,0
14,2,6,12,31,33,40,15,4,"9,375,048,300"
15,3,4,16,30,31,37,13,1,"17,014,245,000"
16,6,7,24,37,38,40,33,4,"4,377,146,100"
17,3,4,9,17,32,37,1,3,"5,349,491,200"
18,3,12,13,19,32,35,29,0,0
19,6,30,38,39,40,43,26,1,"40,722,959,400"
20,10,14,18,20,23,30,41,1,"19,352,212,800"
21,6,12,17,18,31,32,21,23,"797,475,400"
22,4,5,6,8,17,39,25,4,"4,552,194,900"
23,5,13,17,18,33,42,44,4,"4,317,947,700"
24,7,8,27,29,36,43,6,0,0
25,2,4,21,26,43,44,16,2,"24,227,745,300"
26,4,5,7,18,20,25,31,5,"3,495,069,900"
27,1,20,26,28,37,43,27,2,"9,543,982,500"
28,9,18,23,25,35,37,1,10,"1,700,361,100"
29,1,5,13,34,39,40,11,5,"3,552,594,000"
30,8,17,20,35,36,44,4,2,"8,728,555,500"
31,7,9,18,23,28,35,32,2,"8,106,672,900"
32,6,14,19,25,34,44,11,10,"1,634,528,300"
33,4,7,32,33,40,41,9,1,"14,903,517,600"
34,9,26,35,37,40,42,2,5,"3,056,918,000"
35,2,3,11,26,37,43,39,3,"5,054,598,200"
36,1,10,23,26,28,40,31,1,"16,014,475,800"
37,7,27,30,33,35,37,42,3,"4,985,999,400"
38,16,17,22,30,37,43,36,3,"5,374,866,400"
39,6,7,13,15,21,43,8,6,"2,623,748,800"
40,7,13,18,19,25,26,6,13,"1,147,652,400"
41,13,20,23,35,38,43,34,0,0
42,17,18,19,21,23,32,1,6,"6,899,280,100"
43,6,31,35,38,39,44,1,1,"17,749,630,800"
44,3,11,21,30,38,45,39,5,"3,362,155,800"
45,1,10,20,27,33,35,17,2,"8,356,417,800"
46,8,13,15,23,31,38,39,3,"5,327,758,800"
47,14,17,26,31,36,45,27,5,"3,250,042,400"
48,6,10,18,26,37,38,3,6,"2,415,673,600"
49,4,7,16,19,33,40,30,7,"1,967,504,600"
50,2,10,12,15,22,44,1,3,"5,227,061,400"
51,2,3,11,16,26,44,35,6,"2,421,117,000"
52,2,4,15,16,20,29,1,4,"3,900,844,900"
53,7,8,14,32,33,39,42,3,"5,014,371,000"
54,1,8,21,27,36,39,37,3,"5,148,626,600"
55,17,21,31,37,40,44,7,2,"7,088,799,600"
56,10,14,30,31,33,37,19,4,"3,777,570,900"
57,7,10,16,25,29,44,6,4,"4,114,411,900"
58,10,24,25,33,40,44,1,4,"3,676,429,200"
59,6,29,36,39,41,45,13,4,"4,127,587,300"
60,2,8,25,36,39,42,11,7,"2,172,504,600"
61,14,15,19,30,38,43,8,5,"3,541,038,800"
62,3,8,15,27,29,35,21,1,"15,817,286,400"
63,3,20,23,36,38,40,5,2,"7,922,245,500"
64,14,15,18,21,26,36,39,4,"3,899,818,000"
65,4,25,33,36,40,43,39,4,"3,727,945,800"
66,2,3,7,17,22,24,45,4,"3,685,138,200"
67,3,7,10,15,36,38,33,7,"2,114,436,500"
68,10,12,15,16,26,39,38,5,"2,945,882,100"
69,5,8,14,15,19,39,35,3,"4,962,712,200"
70,5,19,22,25,28,43,26,3,"5,031,277,800"
71,5,9,12,16,29,41,21,0,0
72,2,4,11,17,26,27,1,13,"3,260,524,600"
73,3,12,18,32,40,43,38,6,"2,766,662,100"
74,6,15,17,18,35,40,23,3,"5,284,949,800"
75,2,5,24,32,34,44,28,4,"3,914,616,900"
76,1,3,15,22,25,37,43,2,"7,451,022,600"
77,2,18,29,32,43,44,37,3,"5,155,758,600"
78,10,13,25,29,33,35,38,4,"3,519,850,000"
79,3,12,24,27,30,32,14,4,"3,416,443,800"
80,17,18,24,25,26,30,1,1,"13,809,540,000"
81,5,7,11,13,20,33,6,5,"2,714,288,880"
82,1,2,3,14,27,42,39,1,"14,562,494,400"
83,6,10,15,17,19,34,14,2,"7,086,948,300"
84,16,23,27,34,42,45,11,2,"7,669,779,000"
85,6,8,13,23,31,36,21,4,"3,462,109,800"
86,2,12,37,39,41,45,33,1,"14,252,186,400"
87,4,12,16,23,34,43,26,11,"1,799,358,055"
88,1,17,20,24,30,41,27,4,"3,069,709,650"
89,4,26,28,29,33,40,37,3,"4,248,321,900"
90,17,20,29,35,38,44,10,4,"3,291,435,300"
91,1,21,24,26,29,42,27,4,"3,582,902,400"
92,3,14,24,33,35,36,17,11,"1,233,270,846"
93,6,22,24,36,38,44,19,6,"2,269,178,150"
94,5,32,34,40,41,45,6,6,"2,245,339,950"
95,8,17,27,31,34,43,14,8,"1,747,741,238"
96,1,3,8,21,22,31,20,7,"1,847,133,515"
97,6,7,14,15,20,36,3,9,"1,496,214,000"
98,6,9,16,23,24,32,43,4,"3,177,972,300"
99,1,3,10,27,29,37,11,6,"2,169,219,050"
100,1,7,11,23,37,42,6,4,"3,315,315,525"
101,1,3,17,32,35,45,8,5,"2,707,297,500"
102,17,22,24,26,35,40,42,9,"1,457,153,067"
103,5,14,15,27,30,45,10,8,"1,691,589,563"
104,17,32,33,34,42,44,35,2,"6,610,743,750"
105,8,10,20,34,41,45,28,4,"3,416,781,450"
106,4,10,12,22,24,33,29,16,"810,461,157"
107,1,4,5,6,9,31,17,2,"6,679,927,800"
108,7,18,22,23,29,44,12,7,"1,998,900,772"
109,1,5,34,36,42,44,33,12,"1,246,838,200"
110,7,20,22,23,29,43,1,3,"4,566,262,000"
111,7,18,31,33,36,40,27,6,"2,199,047,450"
112,26,29,30,33,41,42,43,9,"1,567,271,167"
113,4,9,28,33,36,45,26,9,"1,561,528,934"
114,11,14,19,26,28,41,2,6,"2,362,345,050"
115,1,2,6,9,25,28,31,9,"1,488,589,567"
